Time,CO₂(ppm),Temperature(°C),Humidity(%),Pressure(hPa)
1/14/2021 8:44:06 a. m.,"394","23.6","27","946"
1/14/2021 8:45:06 a. m.,"391","23.6","27","946"
1/14/2021 8:46:06 a. m.,"398","23.6","27","946"
1/14/2021 8:47:06 a. m.,"393","23.7","27","946"
1/14/2021 8:48:06 a. m.,"397","23.7","27","946"
1/14/2021 8:49:06 a. m.,"396","23.7","27","946"
1/14/2021 8:50:06 a. m.,"396","23.7","27","946"
1/14/2021 8:51:06 a. m.,"397","23.8","27","946"
1/14/2021 8:52:06 a. m.,"384","23.8","27","946"
1/14/2021 8:53:06 a. m.,"387","23.8","27","946"
1/14/2021 8:54:06 a. m.,"384","23.8","27","946"
1/14/2021 8:55:06 a. m.,"389","23.8","27","946"
1/14/2021 8:56:06 a. m.,"396","23.8","27","946"
1/14/2021 8:57:06 a. m.,"392","23.8","27","946"
1/14/2021 8:58:06 a. m.,"395","23.9","27","946"
1/14/2021 8:59:06 a. m.,"388","23.9","27","946"
1/14/2021 9:00:06 a. m.,"394","23.9","27","946"
1/14/2021 9:01:06 a. m.,"394","23.9","27","946"
1/14/2021 9:02:06 a. m.,"404","23.9","27","946"
1/14/2021 9:03:06 a. m.,"393","23.9","27","946"
1/14/2021 9:04:06 a. m.,"423","23.9","27","946"
1/14/2021 9:05:06 a. m.,"421","24.0","27","946"
1/14/2021 9:06:06 a. m.,"455","23.9","27","946"
1/14/2021 9:07:06 a. m.,"495","24.0","27","946"
1/14/2021 9:08:06 a. m.,"493","24.0","27","946"
1/14/2021 9:09:06 a. m.,"475","24.0","27","946"
1/14/2021 9:10:06 a. m.,"543","24.0","28","946"
1/14/2021 9:11:06 a. m.,"481","24.0","27","946"
1/14/2021 9:12:06 a. m.,"518","24.0","27","946"
1/14/2021 9:13:06 a. m.,"521","24.0","27","946"
1/14/2021 9:14:06 a. m.,"511","24.0","27","946"
1/14/2021 9:15:06 a. m.,"475","24.0","27","946"
1/14/2021 9:16:06 a. m.,"455","24.0","26","946"
1/14/2021 9:17:06 a. m.,"445","24.0","26","946"
1/14/2021 9:18:06 a. m.,"424","24.1","27","946"
1/14/2021 9:19:06 a. m.,"427","24.1","27","946"
1/14/2021 9:20:06 a. m.,"455","24.1","27","946"
1/14/2021 9:21:06 a. m.,"460","24.1","27","946"
1/14/2021 9:22:06 a. m.,"482","24.1","27","946"
1/14/2021 9:23:06 a. m.,"481","24.2","27","946"
1/14/2021 9:24:06 a. m.,"476","24.2","27","946"
1/14/2021 9:25:06 a. m.,"519","24.2","27","946"
1/14/2021 9:26:06 a. m.,"491","24.2","27","946"
1/14/2021 9:27:06 a. m.,"548","24.2","27","946"
1/14/2021 9:28:06 a. m.,"499","24.2","27","946"
1/14/2021 9:29:06 a. m.,"467","24.2","27","946"
1/14/2021 9:30:06 a. m.,"506","24.3","27","946"
1/14/2021 9:31:06 a. m.,"465","24.3","27","946"
1/14/2021 9:32:06 a. m.,"441","24.3","27","946"
1/14/2021 9:33:06 a. m.,"492","24.3","27","946"
1/14/2021 9:34:06 a. m.,"477","24.3","27","946"
1/14/2021 9:35:06 a. m.,"521","24.3","27","946"
1/14/2021 9:36:06 a. m.,"495","24.4","27","946"
1/14/2021 9:37:06 a. m.,"455","24.4","27","946"
1/14/2021 9:38:06 a. m.,"462","24.4","27","946"
1/14/2021 9:39:06 a. m.,"491","24.5","27","946"
1/14/2021 9:40:06 a. m.,"486","24.5","27","946"
1/14/2021 9:41:06 a. m.,"474","24.5","27","946"
1/14/2021 9:42:06 a. m.,"461","24.5","27","946"
1/14/2021 9:43:06 a. m.,"470","24.5","27","946"
1/14/2021 9:44:06 a. m.,"482","24.5","27","946"
1/14/2021 9:45:06 a. m.,"458","24.6","27","946"
1/14/2021 9:46:06 a. m.,"470","24.6","27","946"
1/14/2021 9:47:06 a. m.,"465","24.6","27","946"
1/14/2021 9:48:06 a. m.,"471","24.6","27","946"
1/14/2021 9:49:06 a. m.,"453","24.6","27","946"
1/14/2021 9:50:06 a. m.,"446","24.7","27","946"
1/14/2021 9:51:06 a. m.,"433","24.7","27","946"
1/14/2021 9:52:06 a. m.,"427","24.7","27","946"
1/14/2021 9:53:06 a. m.,"415","24.7","27","946"
1/14/2021 9:54:06 a. m.,"410","24.7","27","946"
1/14/2021 9:55:06 a. m.,"432","24.8","27","946"
1/14/2021 9:56:06 a. m.,"464","24.8","27","946"
1/14/2021 9:57:06 a. m.,"426","24.8","27","946"
1/14/2021 9:58:06 a. m.,"433","24.9","27","946"
1/14/2021 9:59:06 a. m.,"440","24.9","27","946"
1/14/2021 10:00:06 a. m.,"416","24.9","26","946"
1/14/2021 10:01:06 a. m.,"453","24.9","26","946"
1/14/2021 10:02:06 a. m.,"445","24.9","26","946"
1/14/2021 10:03:06 a. m.,"427","24.9","26","946"
1/14/2021 10:04:06 a. m.,"433","24.9","26","946"
1/14/2021 10:05:06 a. m.,"433","25.0","26","946"
1/14/2021 10:06:06 a. m.,"445","25.0","26","946"
1/14/2021 10:07:06 a. m.,"438","25.0","26","946"
1/14/2021 10:08:06 a. m.,"469","25.0","26","946"
1/14/2021 10:09:06 a. m.,"455","25.0","26","946"
1/14/2021 10:10:06 a. m.,"475","25.1","26","946"
1/14/2021 10:11:06 a. m.,"515","25.1","25","946"
1/14/2021 10:12:06 a. m.,"475","25.1","25","946"
1/14/2021 10:13:06 a. m.,"477","25.1","26","946"
1/14/2021 10:14:06 a. m.,"452","25.1","25","946"
1/14/2021 10:15:06 a. m.,"443","25.1","25","946"
1/14/2021 10:16:06 a. m.,"410","25.1","25","946"
1/14/2021 10:17:06 a. m.,"410","25.2","25","946"
1/14/2021 10:18:06 a. m.,"399","25.1","25","946"
1/14/2021 10:19:06 a. m.,"385","25.1","25","946"
1/14/2021 10:20:06 a. m.,"389","25.1","25","946"
1/14/2021 10:21:06 a. m.,"398","25.2","25","946"
1/14/2021 10:22:06 a. m.,"381","25.2","25","946"
1/14/2021 10:23:06 a. m.,"424","25.2","25","946"
1/14/2021 10:24:06 a. m.,"397","25.2","25","946"
1/14/2021 10:25:06 a. m.,"409","25.3","25","946"
1/14/2021 10:26:06 a. m.,"406","25.3","25","946"
1/14/2021 10:27:06 a. m.,"448","25.3","25","946"
1/14/2021 10:28:06 a. m.,"465","25.3","24","946"
1/14/2021 10:29:06 a. m.,"492","25.3","25","946"
1/14/2021 10:30:06 a. m.,"489","25.3","25","946"
1/14/2021 10:31:06 a. m.,"498","25.3","25","946"
1/14/2021 10:32:06 a. m.,"454","25.3","25","946"
1/14/2021 10:33:06 a. m.,"487","25.3","25","946"
1/14/2021 10:34:06 a. m.,"494","25.3","25","946"
1/14/2021 10:35:06 a. m.,"443","25.3","25","946"
1/14/2021 10:36:06 a. m.,"473","25.3","24","946"
1/14/2021 10:37:06 a. m.,"437","25.3","24","946"
1/14/2021 10:38:06 a. m.,"427","25.3","24","946"
1/14/2021 10:39:06 a. m.,"412","25.3","24","946"
1/14/2021 10:40:06 a. m.,"403","25.3","24","946"
1/14/2021 10:41:06 a. m.,"406","25.2","24","946"
1/14/2021 10:42:06 a. m.,"403","25.2","24","946"
1/14/2021 10:43:06 a. m.,"385","25.2","23","946"
1/14/2021 10:44:06 a. m.,"407","25.2","24","946"
1/14/2021 10:45:06 a. m.,"425","25.2","24","946"
1/14/2021 10:46:06 a. m.,"435","25.1","24","946"
1/14/2021 10:47:06 a. m.,"425","25.2","24","946"
1/14/2021 10:48:06 a. m.,"393","25.1","24","946"
1/14/2021 10:49:06 a. m.,"447","25.1","25","946"
1/14/2021 10:50:06 a. m.,"444","25.2","25","946"
1/14/2021 10:51:06 a. m.,"433","25.2","25","946"
1/14/2021 10:52:06 a. m.,"428","25.2","25","946"
1/14/2021 10:53:06 a. m.,"445","25.3","25","946"
1/14/2021 10:54:06 a. m.,"431","25.3","25","946"
1/14/2021 10:55:06 a. m.,"446","25.3","25","946"
1/14/2021 10:56:06 a. m.,"441","25.3","25","946"
1/14/2021 10:57:06 a. m.,"558","25.3","25","946"
1/14/2021 10:58:06 a. m.,"461","25.3","25","946"
1/14/2021 10:59:06 a. m.,"428","25.3","25","946"
1/14/2021 11:00:06 a. m.,"383","25.3","25","946"
1/14/2021 11:01:06 a. m.,"373","25.3","25","946"
1/14/2021 11:02:06 a. m.,"402","25.3","25","946"
1/14/2021 11:03:06 a. m.,"383","25.3","25","946"
1/14/2021 11:04:06 a. m.,"384","25.3","25","946"
1/14/2021 11:05:06 a. m.,"393","25.3","25","946"
1/14/2021 11:06:06 a. m.,"408","25.3","25","946"
1/14/2021 11:07:06 a. m.,"405","25.3","25","946"
1/14/2021 11:08:06 a. m.,"390","25.3","25","946"
1/14/2021 11:09:06 a. m.,"402","25.3","25","946"
1/14/2021 11:10:06 a. m.,"393","25.3","25","946"
1/14/2021 11:11:06 a. m.,"384","25.4","25","946"
1/14/2021 11:12:06 a. m.,"416","25.4","25","946"
1/14/2021 11:13:06 a. m.,"429","25.4","25","946"
1/14/2021 11:14:06 a. m.,"425","25.4","25","946"
1/14/2021 11:15:06 a. m.,"434","25.4","25","946"
1/14/2021 11:16:06 a. m.,"434","25.5","25","946"
1/14/2021 11:17:06 a. m.,"400","25.5","25","946"
1/14/2021 11:18:06 a. m.,"403","25.5","25","946"
1/14/2021 11:19:06 a. m.,"393","25.5","24","946"
1/14/2021 11:20:06 a. m.,"409","25.5","24","946"
1/14/2021 11:21:06 a. m.,"399","25.5","25","946"
1/14/2021 11:22:06 a. m.,"376","25.4","24","946"
1/14/2021 11:23:06 a. m.,"405","25.5","25","946"
1/14/2021 11:24:06 a. m.,"405","25.5","25","946"
1/14/2021 11:25:06 a. m.,"412","25.5","25","946"
1/14/2021 11:26:06 a. m.,"381","25.5","25","946"
1/14/2021 11:27:06 a. m.,"397","25.5","25","946"
1/14/2021 11:28:06 a. m.,"402","25.6","25","946"
1/14/2021 11:29:06 a. m.,"393","25.6","25","946"
1/14/2021 11:30:06 a. m.,"396","25.6","25","946"
1/14/2021 11:31:06 a. m.,"407","25.6","25","946"
1/14/2021 11:32:06 a. m.,"408","25.6","25","946"
1/14/2021 11:33:06 a. m.,"400","25.6","25","946"
1/14/2021 11:34:06 a. m.,"394","25.6","25","946"
1/14/2021 11:35:06 a. m.,"397","25.6","25","946"
1/14/2021 11:36:06 a. m.,"413","25.6","25","946"
1/14/2021 11:37:06 a. m.,"433","25.7","25","946"
1/14/2021 11:38:06 a. m.,"407","25.7","25","946"
1/14/2021 11:39:06 a. m.,"433","25.7","25","946"
1/14/2021 11:40:06 a. m.,"440","25.7","25","946"
1/14/2021 11:41:06 a. m.,"435","25.8","25","946"
1/14/2021 11:42:06 a. m.,"437","25.8","25","946"
1/14/2021 11:43:06 a. m.,"400","25.8","25","946"
1/14/2021 11:44:06 a. m.,"420","25.8","25","946"
1/14/2021 11:45:06 a. m.,"438","25.9","25","946"
1/14/2021 11:46:06 a. m.,"405","25.9","25","946"
1/14/2021 11:47:06 a. m.,"385","25.9","25","946"
1/14/2021 11:48:06 a. m.,"406","25.9","25","946"
1/14/2021 11:49:06 a. m.,"417","25.9","25","946"
1/14/2021 11:50:06 a. m.,"405","25.9","25","946"
1/14/2021 11:51:06 a. m.,"408","26.0","25","946"
1/14/2021 11:52:06 a. m.,"394","26.0","25","946"
1/14/2021 11:53:06 a. m.,"398","26.0","25","946"
1/14/2021 11:54:06 a. m.,"403","26.0","25","946"
1/14/2021 11:55:06 a. m.,"495","26.0","25","946"
1/14/2021 11:56:06 a. m.,"435","26.1","25","946"
1/14/2021 11:57:06 a. m.,"434","26.1","25","946"
1/14/2021 11:58:06 a. m.,"404","26.1","25","946"
1/14/2021 11:59:06 a. m.,"435","26.1","25","946"
1/14/2021 12:00:06 p. m.,"395","26.1","25","946"
1/14/2021 12:01:06 p. m.,"384","26.1","25","946"
1/14/2021 12:02:06 p. m.,"385","26.2","25","946"
1/14/2021 12:03:06 p. m.,"379","26.1","25","946"
1/14/2021 12:04:06 p. m.,"405","26.2","25","946"
1/14/2021 12:05:06 p. m.,"367","26.2","25","946"
1/14/2021 12:06:06 p. m.,"380","26.2","25","946"
1/14/2021 12:07:06 p. m.,"462","26.2","25","946"
1/14/2021 12:08:06 p. m.,"418","26.2","25","946"
1/14/2021 12:09:06 p. m.,"413","26.2","25","946"
1/14/2021 12:10:06 p. m.,"395","26.2","25","946"
1/14/2021 12:11:06 p. m.,"388","26.2","25","946"
1/14/2021 12:12:06 p. m.,"393","26.2","25","946"
1/14/2021 12:13:06 p. m.,"395","26.3","25","946"
1/14/2021 12:14:06 p. m.,"376","26.3","25","946"
1/14/2021 12:15:06 p. m.,"381","26.3","25","946"
1/14/2021 12:16:06 p. m.,"415","26.3","25","946"
1/14/2021 12:17:06 p. m.,"418","26.3","25","946"
1/14/2021 12:18:06 p. m.,"414","26.3","25","946"
1/14/2021 12:19:06 p. m.,"399","26.3","25","946"
1/14/2021 12:20:06 p. m.,"404","26.3","25","946"
1/14/2021 12:21:06 p. m.,"408","26.4","25","946"
1/14/2021 12:22:06 p. m.,"397","26.4","26","946"
1/14/2021 12:23:06 p. m.,"390","26.4","26","946"
1/14/2021 12:24:06 p. m.,"384","26.4","26","946"
1/14/2021 12:25:06 p. m.,"390","26.4","26","946"
1/14/2021 12:26:06 p. m.,"394","26.4","26","946"
1/14/2021 12:27:06 p. m.,"395","26.4","26","946"
1/14/2021 12:28:06 p. m.,"400","26.5","26","946"
1/14/2021 12:29:06 p. m.,"440","26.5","26","946"
1/14/2021 12:30:06 p. m.,"412","26.5","26","946"
1/14/2021 12:31:06 p. m.,"417","26.5","26","946"
1/14/2021 12:32:06 p. m.,"373","26.5","26","946"
1/14/2021 12:33:06 p. m.,"416","26.6","26","946"
1/14/2021 12:34:06 p. m.,"402","26.6","26","946"
1/14/2021 12:35:06 p. m.,"404","26.6","26","946"
1/14/2021 12:36:06 p. m.,"400","26.6","26","946"
1/14/2021 12:37:06 p. m.,"394","26.6","26","946"
1/14/2021 12:38:06 p. m.,"391","26.7","26","946"
1/14/2021 12:39:06 p. m.,"403","26.6","26","946"
1/14/2021 12:40:06 p. m.,"375","26.7","26","946"
1/14/2021 12:41:06 p. m.,"381","26.7","26","946"
1/14/2021 12:42:06 p. m.,"390","26.7","26","946"
1/14/2021 12:43:06 p. m.,"397","26.7","26","946"
1/14/2021 12:44:06 p. m.,"408","26.7","26","946"
1/14/2021 12:45:06 p. m.,"395","26.7","26","946"
1/14/2021 12:46:06 p. m.,"395","26.7","26","946"
1/14/2021 12:47:06 p. m.,"397","26.8","26","946"
1/14/2021 12:48:06 p. m.,"390","26.8","26","946"
1/14/2021 12:49:06 p. m.,"418","26.8","26","946"
1/14/2021 12:50:06 p. m.,"398","26.8","26","946"
1/14/2021 12:51:06 p. m.,"399","26.8","26","946"
1/14/2021 12:52:06 p. m.,"425","26.8","26","946"
1/14/2021 12:53:06 p. m.,"396","26.9","26","946"
1/14/2021 12:54:06 p. m.,"391","26.9","26","946"
1/14/2021 12:55:06 p. m.,"374","26.9","26","946"
1/14/2021 12:56:06 p. m.,"410","26.9","26","946"
1/14/2021 12:57:06 p. m.,"415","27.0","26","946"
1/14/2021 12:58:06 p. m.,"402","27.0","26","946"
1/14/2021 12:59:06 p. m.,"388","27.0","26","946"
1/14/2021 1:00:06 p. m.,"385","27.0","26","946"
1/14/2021 1:01:06 p. m.,"394","27.0","26","946"
1/14/2021 1:02:06 p. m.,"389","27.0","26","946"
1/14/2021 1:03:06 p. m.,"389","27.0","26","946"
1/14/2021 1:04:06 p. m.,"377","27.0","26","946"
1/14/2021 1:05:06 p. m.,"386","27.0","26","946"
1/14/2021 1:06:06 p. m.,"386","27.1","26","946"
1/14/2021 1:07:06 p. m.,"365","27.0","26","946"
1/14/2021 1:08:06 p. m.,"364","27.0","26","946"
1/14/2021 1:09:06 p. m.,"366","27.0","26","946"
1/14/2021 1:10:06 p. m.,"360","27.0","26","946"
1/14/2021 1:11:06 p. m.,"370","27.0","26","946"
1/14/2021 1:12:06 p. m.,"367","27.0","26","946"
1/14/2021 1:13:06 p. m.,"366","27.0","26","946"
1/14/2021 1:14:06 p. m.,"354","27.0","26","946"
1/14/2021 1:15:06 p. m.,"363","27.0","26","946"
1/14/2021 1:16:06 p. m.,"363","27.0","26","946"
1/14/2021 1:17:06 p. m.,"350","27.0","26","946"
1/14/2021 1:18:06 p. m.,"363","27.0","26","946"
1/14/2021 1:19:06 p. m.,"348","27.0","26","946"
1/14/2021 1:20:06 p. m.,"359","27.0","26","946"
1/14/2021 1:21:06 p. m.,"363","27.0","26","946"
1/14/2021 1:22:06 p. m.,"364","27.0","26","946"
1/14/2021 1:23:06 p. m.,"345","27.0","26","946"
1/14/2021 1:24:06 p. m.,"355","27.0","26","946"
1/14/2021 1:25:06 p. m.,"355","27.0","26","946"
1/14/2021 1:26:06 p. m.,"361","27.0","26","946"
1/14/2021 1:27:06 p. m.,"351","27.0","26","946"
1/14/2021 1:28:06 p. m.,"353","27.0","26","946"
1/14/2021 1:29:06 p. m.,"354","27.0","26","946"
1/14/2021 1:30:06 p. m.,"343","27.0","26","946"
1/14/2021 1:31:06 p. m.,"358","27.0","26","946"
1/14/2021 1:32:06 p. m.,"339","27.0","26","946"
1/14/2021 1:33:06 p. m.,"366","27.0","26","946"
1/14/2021 1:34:06 p. m.,"348","27.0","26","946"
1/14/2021 1:35:06 p. m.,"363","27.0","26","946"
1/14/2021 1:36:06 p. m.,"347","27.0","26","946"
1/14/2021 1:37:06 p. m.,"347","27.0","26","946"
1/14/2021 1:38:06 p. m.,"360","27.0","26","946"
1/14/2021 1:39:06 p. m.,"364","27.0","26","946"
1/14/2021 1:40:06 p. m.,"359","27.0","26","946"
1/14/2021 1:41:06 p. m.,"358","27.0","26","946"
1/14/2021 1:42:06 p. m.,"366","27.0","26","946"
1/14/2021 1:43:06 p. m.,"361","27.0","26","946"
1/14/2021 1:44:06 p. m.,"350","27.0","25","946"
1/14/2021 1:45:06 p. m.,"364","27.0","25","946"
1/14/2021 1:46:06 p. m.,"365","26.9","25","946"
1/14/2021 1:47:06 p. m.,"349","27.0","25","946"
1/14/2021 1:48:06 p. m.,"359","27.0","25","946"
1/14/2021 1:49:06 p. m.,"377","27.0","25","946"
1/14/2021 1:50:06 p. m.,"374","27.0","25","946"
1/14/2021 1:51:06 p. m.,"372","27.0","26","946"
1/14/2021 1:52:06 p. m.,"364","27.0","26","946"
1/14/2021 1:53:06 p. m.,"350","27.0","26","946"
1/14/2021 1:54:06 p. m.,"374","27.0","26","946"
1/14/2021 1:55:06 p. m.,"387","27.0","26","946"
1/14/2021 1:56:06 p. m.,"396","27.0","26","946"
1/14/2021 1:57:06 p. m.,"414","27.0","26","946"
1/14/2021 1:58:06 p. m.,"423","27.0","26","946"
1/14/2021 1:59:06 p. m.,"437","27.0","27","946"
1/14/2021 2:00:06 p. m.,"460","27.0","27","946"
1/14/2021 2:01:06 p. m.,"437","27.1","27","946"
1/14/2021 2:02:06 p. m.,"462","27.1","27","946"
1/14/2021 2:03:06 p. m.,"456","27.1","27","946"
1/14/2021 2:04:06 p. m.,"412","27.1","27","946"
1/14/2021 2:05:06 p. m.,"445","27.2","27","946"
1/14/2021 2:06:06 p. m.,"453","27.2","27","946"
1/14/2021 2:07:06 p. m.,"436","27.2","27","946"
1/14/2021 2:08:06 p. m.,"486","27.2","27","946"
1/14/2021 2:09:06 p. m.,"519","27.2","27","946"
1/14/2021 2:10:06 p. m.,"516","27.3","27","946"
1/14/2021 2:11:06 p. m.,"467","27.3","27","946"
1/14/2021 2:12:06 p. m.,"425","27.3","26","946"
1/14/2021 2:13:06 p. m.,"436","27.4","27","946"
1/14/2021 2:14:06 p. m.,"413","27.4","26","946"
1/14/2021 2:15:06 p. m.,"406","27.4","26","946"
1/14/2021 2:16:06 p. m.,"410","27.4","26","946"
1/14/2021 2:17:06 p. m.,"411","27.5","26","946"
1/14/2021 2:18:06 p. m.,"408","27.5","26","946"
1/14/2021 2:19:06 p. m.,"417","27.5","26","946"
1/14/2021 2:20:06 p. m.,"398","27.5","26","946"
1/14/2021 2:21:06 p. m.,"422","27.6","26","946"
1/14/2021 2:22:06 p. m.,"422","27.6","26","946"
1/14/2021 2:23:06 p. m.,"443","27.6","26","946"
1/14/2021 2:24:06 p. m.,"463","27.6","27","946"
1/14/2021 2:25:06 p. m.,"447","27.7","26","946"
1/14/2021 2:26:06 p. m.,"437","27.7","26","946"
1/14/2021 2:27:06 p. m.,"442","27.7","26","946"
1/14/2021 2:28:06 p. m.,"413","27.7","26","946"
1/14/2021 2:29:06 p. m.,"423","27.8","26","946"
1/14/2021 2:30:06 p. m.,"428","27.8","26","946"
1/14/2021 2:31:06 p. m.,"453","27.8","26","946"
1/14/2021 2:32:06 p. m.,"447","27.8","26","946"
1/14/2021 2:33:06 p. m.,"434","27.9","26","946"
1/14/2021 2:34:06 p. m.,"429","27.9","26","946"
1/14/2021 2:35:06 p. m.,"415","27.9","26","946"
1/14/2021 2:36:06 p. m.,"403","27.9","26","946"
1/14/2021 2:37:06 p. m.,"450","28.0","27","946"
1/14/2021 2:38:06 p. m.,"407","28.0","26","946"
1/14/2021 2:39:06 p. m.,"415","28.0","26","946"
1/14/2021 2:40:06 p. m.,"415","28.0","26","945"
1/14/2021 2:41:06 p. m.,"435","28.1","26","946"
1/14/2021 2:42:06 p. m.,"431","28.1","26","946"
1/14/2021 2:43:06 p. m.,"429","28.1","26","946"
1/14/2021 2:44:06 p. m.,"427","28.1","26","946"
1/14/2021 2:45:06 p. m.,"403","28.2","26","945"
1/14/2021 2:46:06 p. m.,"417","28.2","26","945"
1/14/2021 2:47:06 p. m.,"411","28.2","26","945"
1/14/2021 2:48:06 p. m.,"387","28.2","26","945"
1/14/2021 2:49:06 p. m.,"402","28.2","26","945"
1/14/2021 2:50:06 p. m.,"397","28.3","26","945"
1/14/2021 2:51:06 p. m.,"402","28.3","26","945"
1/14/2021 2:52:06 p. m.,"394","28.3","26","945"
1/14/2021 2:53:06 p. m.,"382","28.3","26","945"
1/14/2021 2:54:06 p. m.,"406","28.4","26","945"
1/14/2021 2:55:06 p. m.,"366","28.4","25","945"
1/14/2021 2:56:06 p. m.,"378","28.4","25","945"
1/14/2021 2:57:06 p. m.,"388","28.4","25","945"
1/14/2021 2:58:06 p. m.,"407","28.4","25","945"
1/14/2021 2:59:06 p. m.,"388","28.5","25","945"
1/14/2021 3:00:06 p. m.,"409","28.5","25","945"
1/14/2021 3:01:06 p. m.,"403","28.5","25","945"
1/14/2021 3:02:06 p. m.,"414","28.5","25","945"
